Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3500105;Interior;Adamantina;11526;190;;;
3500204;Interior;Adolfo;1144;28;;;
3500303;Interior;Aguaí;7272;138;;;
3500402;Interior;Águas da Prata;2160;39;;;
3500501;Interior;Águas de Lindóia;5583;67;;;
3500550;Interior;Águas de Santa Bárbara;622;25;;;
3500600;Interior;Águas de São Pedro;478;17;;;
3500709;Interior;Agudos;9235;123;;;
3500758;Interior;Alambari;1629;13;;;
3500808;Interior;Alfredo Marcondes;317;23;;;
3500907;Interior;Altair;325;18;;;
3501004;Interior;Altinópolis;1247;68;;;
3501103;Interior;Alto Alegre;424;29;;;
3501152;Interior;Alumínio;1746;56;;;
3501202;Interior;Álvares Florence;651;19;;;
3501301;Interior;Álvares Machado;4319;94;;;
3501400;Interior;Álvaro de Carvalho;345;9;;;
3501509;Interior;Alvinlândia;156;10;;;
3501608;Interior;Americana;28325;1015;;;
3501707;Interior;Américo Brasiliense;7601;112;;;
3501806;Interior;Américo de Campos;1294;38;;;
3501905;Interior;Amparo;10650;262;;;
3502002;Interior;Analândia;717;6;;;
3502101;Interior;Andradina;15741;320;;;
3502200;Interior;Angatuba;5962;94;;;
3502309;Interior;Anhembi;459;16;;;
3502408;Interior;Anhumas;409;10;;;
3502507;Interior;Aparecida;2993;129;;;
3502606;Interior;Aparecida d'Oeste;1792;28;;;
3502705;Interior;Apiaí;1806;111;;;
3502754;Interior;Araçariguama;3240;78;;;
3502804;Interior;Araçatuba;48727;1022;;;
3502903;Interior;Araçoiaba da Serra;3314;103;;;
3503000;Interior;Aramina;394;20;;;
3503109;Interior;Arandu;668;22;;;
3503158;Interior;Arapeí;276;7;;;
3503208;Interior;Araraquara;66269;663;;;
3503307;Interior;Araras;20492;466;;;
3503356;Interior;Arco-Íris;621;10;;;
3503406;Interior;Arealva;2183;31;;;
3503505;Interior;Areias;400;6;;;
3503604;Interior;Areiópolis;2373;33;;;
3503703;Interior;Ariranha;1042;38;;;
3503802;Interior;Artur Nogueira;9149;170;;;
3503901;RMSP (exceto capital);Arujá;12658;365;;;
3503950;Interior;Aspásia;620;12;;;
3504008;Interior;Assis;26245;478;;;
3504107;Interior;Atibaia;13375;496;;;
3504206;Interior;Auriflama;2534;90;;;
3504305;Interior;Avaí;835;14;;;
3504404;Interior;Avanhandava;1996;50;;;
3504503;Interior;Avaré;15768;330;;;
3504602;Interior;Bady Bassitt;4565;103;;;
3504701;Interior;Balbinos;813;4;;;
3504800;Interior;Bálsamo;3146;78;;;
3504909;Interior;Bananal;1168;11;;;
3505005;Interior;Barão de Antonina;1045;11;;;
3505104;Interior;Barbosa;982;25;;;
3505203;Interior;Bariri;7860;160;;;
3505302;Interior;Barra Bonita;5651;130;;;
3505351;Interior;Barra do Chapéu;468;16;;;
3505401;Interior;Barra do Turvo;913;27;;;
3505500;Interior;Barretos;31602;651;;;
3505609;Interior;Barrinha;1770;94;;;
3505708;RMSP (exceto capital);Barueri;48185;1268;;;
3505807;Interior;Bastos;3833;98;;;
3505906;Interior;Batatais;7106;212;;;
3506003;Interior;Bauru;89158;1481;;;
3506102;Interior;Bebedouro;6173;364;;;
3506201;Interior;Bento de Abreu;678;6;;;
3506300;Interior;Bernardino de Campos;2067;42;;;
3506359;Interior;Bertioga;11687;200;;;
3506409;Interior;Bilac;970;26;;;
3506508;Interior;Birigui;31553;654;;;
3506607;RMSP (exceto capital);Biritiba Mirim;1590;120;;;
3506706;Interior;Boa Esperança do Sul;2707;29;;;
3506805;Interior;Bocaina;2526;40;;;
3506904;Interior;Bofete;2651;31;;;
3507001;Interior;Boituva;7092;216;;;
3507100;Interior;Bom Jesus dos Perdões;2553;54;;;
3507159;Interior;Bom Sucesso de Itararé;699;7;;;
3507209;Interior;Borá;223;2;;;
3507308;Interior;Boracéia;1066;27;;;
3507407;Interior;Borborema;4670;60;;;
3507456;Interior;Borebi;309;4;;;
3507506;Interior;Botucatu;55496;402;;;
3507605;Interior;Bragança Paulista;46964;653;;;
3507704;Interior;Braúna;637;26;;;
3507753;Interior;Brejo Alegre;923;14;;;
3507803;Interior;Brodowski;4827;87;;;
3507902;Interior;Brotas;8055;77;;;
3508009;Interior;Buri;4579;108;;;
3508108;Interior;Buritama;5994;92;;;
3508207;Interior;Buritizal;361;10;;;
3508306;Interior;Cabrália Paulista;1205;9;;;
3508405;Interior;Cabreúva;8254;156;;;
3508504;Interior;Caçapava;16375;331;;;
3508603;Interior;Cachoeira Paulista;5755;73;;;
3508702;Interior;Caconde;3695;46;;;
3508801;Interior;Cafelândia;898;61;;;
3508900;Interior;Caiabu;337;9;;;
3509007;RMSP (exceto capital);Caieiras;13823;364;;;
3509106;Interior;Caiuá;526;12;;;
3509205;RMSP (exceto capital);Cajamar;5675;270;;;
3509254;Interior;Cajati;6830;115;;;
3509304;Interior;Cajobi;2348;38;;;
3509403;Interior;Cajuru;2188;88;;;
3509452;Interior;Campina do Monte Alegre;640;29;;;
3509502;Interior;Campinas;220057;5427;;;
3509601;Interior;Campo Limpo Paulista;11396;315;;;
3509700;Interior;Campos do Jordão;12661;164;;;
3509809;Interior;Campos Novos Paulista;325;14;;;
3509908;Interior;Cananéia;2514;37;;;
3509957;Interior;Canas;242;9;;;
3510005;Interior;Cândido Mota;7946;188;;;
3510104;Interior;Cândido Rodrigues;152;8;;;
3510153;Interior;Canitar;1605;30;;;
3510203;Interior;Capão Bonito;10429;183;;;
3510302;Interior;Capela do Alto;1734;50;;;
3510401;Interior;Capivari;5962;188;;;
3510500;Interior;Caraguatatuba;36655;545;;;
3510609;RMSP (exceto capital);Carapicuíba;40775;1285;;;
3510708;Interior;Cardoso;3585;72;;;
3510807;Interior;Casa Branca;6488;134;;;
3510906;Interior;Cássia dos Coqueiros;258;4;;;
3511003;Interior;Castilho;4667;102;;;
3511102;Interior;Catanduva;36685;736;;;
3511201;Interior;Catiguá;928;43;;;
3511300;Interior;Cedral;3865;40;;;
3511409;Interior;Cerqueira César;4200;60;;;
3511508;Interior;Cerquilho;15321;175;;;
3511607;Interior;Cesário Lange;4627;84;;;
3511706;Interior;Charqueada;4273;52;;;
3511904;Interior;Clementina;979;24;;;
3512001;Interior;Colina;2613;73;;;
3512100;Interior;Colômbia;1330;20;;;
3512209;Interior;Conchal;5153;96;;;
3512308;Interior;Conchas;3962;85;;;
